id,name,platforms,original_price(£),discounted_price(£),discount(%),product_type,publisher,rel_date,developer,genre
212,Unravel,['PS4'],14.99,3.74,-75,FULL_GAME,Electronic Arts,2016-02-09,Coldwood Interactive,"Puzzle, Platformer"
213,10 Second Ninja X,['PS4'],7.99,0.79,-90,GAME_BUNDLE,Curve Games,2016-07-19,Four Circle Interactive,Platformer
214,Newtonian Inversion,['PS4'],0.49,0.24,-50,FULL_GAME,The Voices Games,2021-03-31,The Voices Games,Platformer
215,Oliver's Adventures in the Fairyland,['PS4'],5.79,4.05,-30,FULL_GAME,Victory Road,2019-12-11,Hoodoo Bear,Platformer
216,Dungeon Village,['PS4'],9.99,4.99,-50,FULL_GAME,Kairosoft,2019-12-05,Kairosoft,Management
217,The Midnight Sanctuary,['PS4'],7.99,3.99,-50,FULL_GAME,UNTIES,2018-10-04,CAVYHOUSE,Visual Novel
218,Let's Sing 2020,['PS4'],34.99,19.24,-45,FULL_GAME,Deep Silver,2020-05-28,Voxler,Music
219,My Friend Peppa Pig,"['PS4', 'PS5']",34.99,24.49,-30,FULL_GAME,Outright Games,2021-10-22,Petoons Studio,Adventure
220,Alpha Invasion,['PS4'],7.99,3.99,-50,FULL_GAME,Erik Games,2020-06-19,Erik Games,Adventure
221,The Metronomicon: Slay the Dance Floor,['PS4'],16.99,4.24,-75,FULL_GAME,Kasedo Games,2017-08-29,Akupara Games,"Role Playing, Music"
222,Banner of the Maid,['PS4'],13.99,6.99,-50,FULL_GAME,CE-Asia Hong Kong,2020-08-12,Azure Flame Studio,"Role Playing, Strategy, Turn Based"
223,Conan Exiles,['PS4'],44.99,17.99,-60,FULL_GAME,Funcom,2018-05-08,Funcom,"Open World, Survival"
224,Zombies ruined my day,['PS4'],3.29,1.64,-50,FULL_GAME,Rendercode Games,2020-10-27,Mancebo Games,Action
225,Beast Quest,['PS4'],15.99,1.59,-90,FULL_GAME,Maximum Games,2018-03-13,Torus Games,"Action-RPG, Role Playing"
226,The Dungeon of Naheulbeuk: The Amulet of Chaos - Chicken Edition,"['PS4', 'PS5']",29.99,20.99,-30,FULL_GAME,"Plug In Digital, GS2 Games",2021-06-24,Artefacts Studio,"Role Playing, Strategy, Turn Based, Dungeon Crawler"
227,Atomicrops,['PS4'],9.99,3.99,-60,FULL_GAME,Raw Fury,2020-05-28,Bird Bath Games,"Roguelite, Shoot 'em up"
228,Neon Drive,['PS4'],7.99,3.19,-60,FULL_GAME,Fraoula,2017-08-08,Fraoula,"Automobile, Arcade Racing"
229,ARK: Survival Evolved,['PS4'],24.99,8.24,-67,FULL_GAME,Wildcard Properties,2016-12-06,Studio Wildcard,"Open World, Survival"
230,Suicide Guy: Sleepin' Deeply,['PS4'],4.99,0.99,-80,FULL_GAME,Chubby Pixel,2019-01-11,Fabio Ferrara,"Puzzle, Platformer"
231,Draugen,['PS4'],15.99,6.39,-60,FULL_GAME,Red Thread Games,2020-02-21,Red Thread Games,Adventure
232,A Knight's Quest,['PS4'],19.99,1.99,-90,FULL_GAME,Curve Games,2019-10-10,Sky9 Games,Action-Adventure
233,VR Ping Pong,['PS4'],11.99,2.39,-80,FULL_GAME,Merge Games,2017-02-07,Reddoll,"Sports, Table Tennis"
234,Sky Ride,['PS4'],14.99,10.49,-30,FULL_GAME,MUTAN,2017-02-15,MUTAN,Shoot 'em up
235,VR Ping Pong Pro,['PS4'],19.99,3.99,-80,FULL_GAME,Merge Games,2019-11-12,One-O-One Games,"Sports, Table Tennis"
236,SaGa Frontier Remastered,['PS4'],19.99,13.99,-30,FULL_GAME,Square Enix,2021-04-15,Square Enix,"Role Playing, Turn Based"
237,Ord.,['PS4'],3.99,1.59,-60,FULL_GAME,Ratalaika Games,2020-11-03,"Mujo Games, Stuffed Wombat",Visual Novel
239,Livelock,['PS4'],9.49,4.74,-50,FULL_GAME,Perfect World Entertainment,2016-08-30,Tuque Games,Shoot 'em up
240,Jump Stars,['PS4'],7.99,0.79,-90,FULL_GAME,Curve Games,2017-06-06,Jamit Games,Action
241,Volgarr the Viking,['PS4'],7.99,1.99,-75,GAME_BUNDLE,Crazy Viking Studios,2016-11-16,Crazy Viking Studios,Platformer
242,God's Trigger,['PS4'],11.99,3.59,-70,FULL_GAME,Techland,2019-04-18,One More Level Games,Shoot 'em up
244,Death Park,['PS4'],5.79,3.47,-40,FULL_GAME,EpiXR Games,2021-09-24,Euphoria Games,Stealth
245,Ascendshaft and Endless Shaft,['PS4'],0.49,0.24,-50,FULL_GAME,The Voices Games,2021-03-03,The Voices Games,Action
246,Toy Soldiers HD,['PS4'],24.99,12.49,-50,FULL_GAME,Accelerate Games,2021-10-21,Signal Studios,"Strategy, Turn Based"
247,The Wardrobe,['PS4'],15.99,9.59,-40,PREMIUM_EDITION,MixedBag Games,2018-07-31,CINIC Games,"Adventure, Point & Click"
248,Mighty No. 9,['PS4'],15.99,2.39,-85,GAME_BUNDLE,Deep Silver,2016-06-21,Comcept,Platformer
249,The Deer God,['PS4'],7.99,2.79,-65,GAME_BUNDLE,Level 77,2017-04-25,Blowfish Studios,Platformer
250,Revenant Saga,['PS4'],11.99,5.99,-50,FULL_GAME,KEMCO,2017-12-13,EXE-CREATE,"Role Playing, Turn Based"
251,Heroine Anthem Zero Episode 1,['PS4'],9.99,4.99,-50,FULL_GAME,Vive Studios,2018-02-27,Winking Entertainment,"Action-RPG, Role Playing"
252,Mom Hid My Game! 2,['PS4'],3.99,2.79,-30,FULL_GAME,Hap,2021-04-28,Hap,Puzzle
253,M.A.C.E. Space Shooter,['PS4'],3.99,1.59,-60,FULL_GAME,EntwicklerX,2020-11-19,EntwicklerX,Shoot 'em up
254,Glittering Sword,['PS4'],3.99,1.99,-50,FULL_GAME,ChiliDog Interactive,2021-02-05,HugePixel,Action-Adventure
255,Kingdom: New Lands,['PS4'],11.99,2.39,-80,FULL_GAME,Raw Fury,2018-01-16,Fury Studios,Management
256,My Time at Portia,['PS4'],24.99,6.24,-75,FULL_GAME,Team17 Software,2019-04-16,Pathea Games,"Role Playing, Management"
257,Alekhine's Gun,['PS4'],15.99,1.59,-90,FULL_GAME,Maximum Games,2016-03-11,Maximum Games,"Third Person Shooter, Stealth"
258,Red Dead Revolver,['PS4'],11.99,7.19,-40,FULL_GAME,Rockstar Games,2016-10-11,Rockstar San Diego,Third Person Shooter
259,Thomas Was Alone,['PS4'],6.49,0.64,-90,FULL_GAME,Curve Games,2013-04-23,Curve Games,Platformer
260,Arrog,['PS4'],2.49,0.99,-60,FULL_GAME,Nakana.io,2021-02-05,"Leap Game Studios, Hermanos Magia",Adventure
261,Cake Bash,['PS4'],15.99,11.99,-25,FULL_GAME,Coatsink,2020-10-15,High Tea Frog,Party
262,Fishing Sim World: Pro Tour,['PS4'],14.99,5.24,-65,FULL_GAME,Dovetail Games,2018-09-18,Dovetail Games,"Fishing, Sports"
263,BLACKHOLE: Complete Edition,['PS4'],12.99,3.24,-75,FULL_GAME,1C Entertainment,2017-08-08,FiolaSoft Studio,"Puzzle, Platformer"
265,Car Mechanic Simulator 2021,"['PS4', 'PS5']",24.99,18.74,-25,FULL_GAME,PlayWay,2021-08-12,Red Dot Games,Simulation
266,West of Dead,['PS4'],15.99,4.79,-70,FULL_GAME,Raw Fury,2020-08-05,Upstream Arcade,Roguelite
267,Lost Castle,['PS4'],7.99,3.19,-60,FULL_GAME,Another Indie,2019-09-19,Hunter Studios,"Action-RPG, Role Playing"
268,Wargroove,['PS4'],15.49,6.19,-60,FULL_GAME,Chucklefish,2019-07-23,Chucklefish,"Strategy, Turn Based"
269,Ion Driver,['PS4'],7.99,3.59,-55,FULL_GAME,Gammera Nest,2021-07-30,Gammera Nest,"Automobile, Arcade Racing"
270,Bounty Battle,['PS4'],19.99,3.99,-80,FULL_GAME,Merge Games,2020-09-10,Dark Screen Games,Fighting
271,36 Fragments of Midnight,['PS4'],2.49,0.74,-70,FULL_GAME,Ratalaika Games,2017-12-19,Petite Games,Platformer
272,Lock's Quest,['PS4'],15.99,6.39,-60,FULL_GAME,THQ Nordic,2017-05-30,Digital Continue,"Strategy, Real Time"
273,Stealth Inc: Ultimate Edition,['PS4'],9.99,0.99,-90,FULL_GAME,Curve Games,2014-03-18,Curve Games,"Puzzle, Platformer"
274,Venture Towns,['PS4'],9.99,4.99,-50,FULL_GAME,Kairosoft,2020-05-14,Kairosoft,"Simulation, Management"
275,LA Cops,['PS4'],11.49,2.29,-80,FULL_GAME,Team17 Software,2015-04-21,Modern Dream,Shoot 'em up
276,Skater XL,['PS4'],34.99,26.24,-25,FULL_GAME,Easy Day Studios,2020-07-28,Easy Day Studios,"Sports, Skateboarding"
277,Massira,['PS4'],9.99,2.99,-70,FULL_GAME,Factoria Cultural Gestio,2019-09-16,Frost Monkey,Puzzle
278,Dusk Diver,['PS4'],29.99,11.99,-60,FULL_GAME,PQube,2019-10-29,JFI Games,"Action-RPG, Role Playing, Hack & Slash"
279,Ninjin: Clash of Carrots,['PS4'],7.99,0.79,-90,FULL_GAME,Modus Games,2018-09-04,Pocket Trap,"On Rails, Beat 'em up"
280,Asterix & Obelix XXL3: The Crystal Menhir,['PS4'],34.99,6.99,-80,FULL_GAME,Microids,2019-11-21,OSome Studio,"Platformer, Beat 'em up"
281,Mortal Blitz,['PS4'],15.99,4.79,-70,FULL_GAME,SKONEC Entertainment,2017-04-04,SKONEC Entertainment,"First Person Shooter, On Rails"
282,Catch & Release,['PS4'],15.99,7.99,-50,FULL_GAME,metricminds,2018-08-28,metricminds,"Fishing, Simulation, Sports"
283,Holfraine,['PS4'],3.99,2.39,-40,FULL_GAME,Good Game Publishing,2020-03-03,Fluxart Studios,Third Person Shooter
285,Cloudpunk,['PS4'],19.99,7.99,-60,FULL_GAME,"Merge Games, H2 Interactive",2020-10-15,Ion Lands,Adventure
286,RAD,['PS4'],15.99,3.99,-75,FULL_GAME,Bandai Namco Entertainment,2019-08-20,Double Fine,Roguelite
287,Under The Jolly Roger,['PS4'],14.99,4.49,-70,FULL_GAME,HeroCraft,2020-02-25,Lion's Shade,"Open World, Action-RPG, Role Playing, Naval, Vehicular Combat"
288,Mervils: A VR Adventure,['PS4'],12.99,3.89,-70,FULL_GAME,Vitruvius,2017-02-21,Vitruvius,Action-Adventure
289,Umbrella Corps,['PS4'],11.99,2.99,-75,FULL_GAME,Capcom Entertainment,2016-06-21,Capcom Entertainment,Third Person Shooter
290,Gravel,['PS4'],24.99,2.49,-90,FULL_GAME,Milestone,2018-02-27,Milestone,"Automobile, Arcade Racing"
291,Super Star Blast,['PS4'],3.99,1.59,-60,FULL_GAME,EntwicklerX,2021-04-16,EntwicklerX,Shoot 'em up
292,Marooners,['PS4'],7.99,3.19,-60,FULL_GAME,M2H,2018-02-06,M2H,Party
293,Miden Tower,['PS4'],11.99,5.99,-50,FULL_GAME,KEMCO,2020-07-28,EXE-CREATE,"Role Playing, Turn Based"
294,Galaxy Squad,['PS4'],6.49,3.24,-50,FULL_GAME,Big Way Games,2021-09-01,Kazakov Oleg,"Strategy, Turn Based"
295,My Hidden Things,['PS4'],4.99,1.99,-60,FULL_GAME,Big Way Games,2020-12-11,Six Dots,"Adventure, Point & Click"
296,Metal Gear Solid V: The Phantom Pain,['PS4'],24.99,4.99,-80,FULL_GAME,Konami Digital Entertainment,2015-09-01,Kojima Productions,"Open World, Third Person Shooter, Stealth"
297,Season Match,['PS4'],8.99,4.49,-50,FULL_GAME,Joindots,2019-05-17,URSE,Puzzle
298,Spot The Difference,['PS4'],7.99,1.99,-75,FULL_GAME,Sabec,2020-09-13,Sabec,Puzzle
299,One Dog Story,['PS4'],9.99,3.99,-60,FULL_GAME,Big Way Games,2020-07-17,Big Way Games,"Platformer, Run & Gun"
300,Cozy Grove,['PS4'],11.49,7.46,-35,FULL_GAME,The Quantum Astrophysicists Guild,2021-04-08,Spry Fox,Simulation
301,Pool,['PS4'],7.99,1.99,-75,FULL_GAME,Sabec,2020-09-24,Sabec,"Sports, Cue Sports"
302,Horizon Chase Turbo,['PS4'],15.99,3.99,-75,FULL_GAME,Aquiris Game Studio,2018-05-14,Aquiris Game Studio,"Automobile, Arcade Racing"
303,Ary and the Secret of Seasons,['PS4'],34.99,6.99,-80,FULL_GAME,Modus Games,2020-09-01,"eXiin, Fishing Cactus",Action-Adventure
304,Aggelos,['PS4'],12.99,3.24,-75,FULL_GAME,"PQube, PixelHeart",2019-07-12,"Clickteam, Wonderboy Bobi",Platformer
305,Journey of the Broken Circle,['PS4'],6.49,1.29,-80,FULL_GAME,"Nakana.io, Red Art Games",2021-03-12,Lovable Hat Cult,Adventure
306,Hover,['PS4'],19.99,14.99,-25,FULL_GAME,Plug In Digital,2018-09-18,Fusty Game,Platformer
307,Bad North,['PS4'],11.99,3.59,-70,FULL_GAME,Raw Fury,2018-08-28,Plausible Concept,"Roguelite, Strategy, Real Time"
309,Pixel Ripped 1989,['PS4'],12.99,6.49,-50,FULL_GAME,"Arvore Immersive Experiences, Perp Games",2018-07-31,Arvore Immersive Experiences,Adventure
310,Prehistoric Dude,['PS4'],3.99,1.19,-70,FULL_GAME,Ratalaika Games,2020-08-11,lightUP,"Metroidvania, Platformer"
311,Radon Blast,['PS4'],3.99,1.59,-60,FULL_GAME,EntwicklerX,2021-03-05,EntwicklerX,Action
312,Sky Force Reloaded,['PS4'],7.99,5.59,-30,FULL_GAME,Crunching Koalas,2017-11-28,Infinite Dreams,Shoot 'em up
313,Super Hydorah,['PS4'],15.99,7.99,-50,FULL_GAME,Abylight Studios,2017-12-13,Locomalito,Shoot 'em up
314,The Sisters - Party of the Year,['PS4'],34.99,17.49,-50,FULL_GAME,Microids,2021-07-06,Balio Studio,Party
315,Island Time VR,['PS4'],11.59,8.11,-30,FULL_GAME,Flight School Studio,2018-04-03,Flight School Studio,Survival
316,Fort Triumph,['PS4'],15.99,7.99,-50,FULL_GAME,All In! Games,2021-08-13,CookieByte Entertainment,"Strategy, Turn Based"
317,Moon Raider,['PS4'],7.99,1.99,-75,FULL_GAME,Drageus Games,2021-04-23,"Cascadia Games, Crescent Moon Games",Run & Gun
318,Tango Fiesta,['PS4'],7.99,1.59,-80,FULL_GAME,Merge Games,2017-05-17,Spilt Milk Studios,Shoot 'em up
319,Jet Set Knights,['PS4'],7.99,3.19,-60,FULL_GAME,Ratalaika Games,2020-09-22,FobTi Interactive,Action
321,Zotrix,['PS4'],7.99,1.19,-85,FULL_GAME,UFO Interactive,2015-12-08,ZeroBit Games,Shoot 'em up
322,Super Wiloo Demake,['PS4'],3.99,0.79,-80,GAME_BUNDLE,Ratalaika Games,2019-07-30,lightUP,Platformer
323,"Cook, Serve, Delicious! 2!!",['PS4'],12.99,3.24,-75,FULL_GAME,Vertigo Games,2018-12-18,Vertigo Gaming,"Simulation, Management"
324,Boom Blaster,['PS4'],5.79,2.89,-50,FULL_GAME,ChiliDog Interactive,2021-02-19,BigBread,Run & Gun
326,Sayonara Wild Hearts,['PS4'],9.49,5.69,-40,FULL_GAME,"Annapurna Interactive, iam8bit",2019-09-19,Simogo,Action
327,Brick Breaker,['PS4'],7.99,3.99,-50,FULL_GAME,Nacon,2016-04-26,Sanuk Games,Action
328,Crypt of the NecroDancer,['PS4'],12.99,2.59,-80,GAME_BUNDLE,Klei Entertainment,2016-02-02,Brace Yourself Games,"Roguelite, Music"
329,Door Kickers: Action Squad,['PS4'],12.99,3.89,-70,FULL_GAME,Killhouse Games,2019-10-24,Killhouse Games,Action
330,Kentucky Route Zero: TV Edition,['PS4'],17.99,10.79,-40,FULL_GAME,"Annapurna Interactive, iam8bit",2020-01-28,Cardboard Computer,"Adventure, Point & Click"
331,The World of Nubla,['PS4'],8.99,4.04,-55,FULL_GAME,Gammera Nest,2017-06-27,Gammera Nest,Puzzle
332,Asdivine Kamura,['PS4'],11.99,5.99,-50,FULL_GAME,KEMCO,2019-10-02,EXE-CREATE,"Role Playing, Turn Based"
333,Monster Sanctuary,['PS4'],15.99,4.79,-70,FULL_GAME,Team17 Software,2020-12-08,Moi Rai Games,"Metroidvania, Role Playing, Platformer"
334,SYMMETRY,['PS4'],12.99,3.24,-75,FULL_GAME,IMGN.Pro,2018-02-20,Sleepless Clinic,Management
335,Morbid: The Seven Acolytes,['PS4'],19.99,4.99,-75,FULL_GAME,"Merge Games, H2 Interactive",2020-12-03,Still Running,"Action-RPG, Role Playing, Dungeon Crawler"
336,BeeFense BeeMastered,['PS4'],6.49,2.59,-60,FULL_GAME,ByteRockers Games,2021-06-24,ByteRockers Games,"Strategy, Tower Defence"
337,Yoku's Island Express,['PS4'],15.99,3.19,-80,FULL_GAME,Team17 Software,2018-05-29,Villa Gorilla,"Metroidvania, Platformer, Pinball"
395,Brain in Retro Space,['PS4'],2.49,1.24,-50,FULL_GAME,Erik Games,2019-11-25,Erik Games,Action
338,Thief Simulator,['PS4'],15.99,7.99,-50,FULL_GAME,PlayWay,2020-08-12,Noble Muffins,"Open World, Stealth, Simulation"
339,Epic Astro Story,['PS4'],9.99,4.99,-50,FULL_GAME,Kairosoft,2020-11-12,Kairosoft,Management
340,Fantasy General II: Invasion,['PS4'],26.99,13.22,-51,FULL_GAME,Slitherine Software,2020-07-31,Owned by Gravity,"Strategy, Turn Based"
341,Quest Hunter,['PS4'],24.99,9.99,-60,FULL_GAME,2 Zombie Games,2020-09-04,2 Zombie Games,"Action-RPG, Role Playing"
342,Dead Dust,['PS4'],3.99,2.19,-45,FULL_GAME,ChiliDog Interactive,2021-04-23,HugePixel,Shoot 'em up
343,Tempest 4000,['PS4'],24.99,19.99,-20,FULL_GAME,Atari,2018-07-17,Llamasoft,Shoot 'em up
344,Firefighters: Plant Fire Department,['PS4'],19.99,5.99,-70,FULL_GAME,United Independent Entertainment,2017-11-30,UIG Entertainment,Simulation
345,Into A Dream,['PS4'],11.49,4.59,-60,FULL_GAME,Top Hat Studios,2021-03-04,Filipe F. Thomaz,Adventure
346,Synth Riders,['PS4'],19.99,14.39,-28,FULL_GAME,Kluge Interactive,2021-08-10,Kluge Interactive,Music
347,Max Payne,['PS4'],11.99,7.19,-40,FULL_GAME,Rockstar Games,2016-03-22,Remedy Entertainment,Third Person Shooter
348,Lost Words: Beyond the Page,['PS4'],11.99,2.39,-80,FULL_GAME,Modus Games,2021-04-06,Sketchbook Games,Platformer
349,Lethal League,['PS4'],11.99,5.99,-50,FULL_GAME,Team Reptile,2017-05-09,Team Reptile,Fighting
350,My Universe - My Baby,['PS4'],34.99,10.49,-70,FULL_GAME,"Microids, Maximum Games",2021-01-26,Smart Tale Games,Simulation
351,Asdivine Dios,['PS4'],11.99,5.99,-50,FULL_GAME,KEMCO,2019-07-02,EXE-CREATE,"Role Playing, Turn Based"
352,Godstrike,['PS4'],11.99,5.99,-50,FULL_GAME,Freedom Games,2021-10-14,OverPowered Team,Shoot 'em up
353,eCrossminton,['PS4'],11.99,4.19,-65,FULL_GAME,Factoria Cultural Gestio,2019-04-03,Daydream Software,Sports
354,Gods Will Fall,['PS4'],11.99,2.99,-75,FULL_GAME,Deep Silver,2021-01-29,Clever Beans,Action-Adventure
355,The Outer Worlds,['PS4'],49.99,16.49,-67,FULL_GAME,Private Division,2019-10-25,Obsidian Entertainment,"Open World, First Person Shooter, Role Playing"
356,Warparty,['PS4'],7.99,3.19,-60,FULL_GAME,Rogueside,2019-03-28,Rogueside,"Strategy, Real Time"
357,Jade's Ascension,['PS4'],7.99,2.79,-65,FULL_GAME,Gammera Nest,2020-11-04,Gammera Nest,Shoot 'em up
358,The Evil Within 2,['PS4'],34.99,6.99,-80,FULL_GAME,Bethesda Softworks,2017-10-13,Tango Gameworks,"Action Horror, Third Person Shooter"
360,The Last Door - Complete Edition,['PS4'],11.59,4.63,-60,FULL_GAME,Plug In Digital,2019-05-23,The Game Kitchen,"Adventure, Point & Click"
361,while True: learn(),['PS4'],11.99,8.03,-33,FULL_GAME,Nival International,2020-07-07,Luden.io,"Puzzle, Educational & Trivia"
362,Switch 'N' Shoot,['PS4'],3.29,1.8,-45,FULL_GAME,Huey Games,2020-11-04,Matt Glanville,Shoot 'em up
363,Random Heroes: Gold Edition,['PS4'],3.99,1.19,-70,FULL_GAME,Ratalaika Games,2020-03-31,Woblyware,Platformer
364,Epic Chef,['PS4'],19.99,7.99,-60,FULL_GAME,Team17 Software,2021-11-11,Infinigon,Management
365,Surviving the Aftermath,['PS4'],24.99,14.99,-40,FULL_GAME,Paradox Interactive,2021-11-16,Iceflake Studios,Management
366,Chop is Dish,['PS4'],3.99,2.79,-30,FULL_GAME,Victory Road,2020-03-16,HugePixel,Platformer
367,The Survivalists,['PS4'],19.99,4.99,-75,FULL_GAME,"Team17 Software, Sold Out Sales & Marketing, Game Source Entertainment",2020-10-09,Team17 Software,"Survival, Management"
368,Unearthing Mars 2: The Ancient War,['PS4'],15.99,7.99,-50,FULL_GAME,Winking Skywalker Entertainment,2018-09-18,Winking Entertainment,First Person Shooter
369,Marsupilami: Hoobadventure,['PS4'],34.99,20.99,-40,FULL_GAME,Microids,2021-11-16,Ocellus Studio,Platformer
370,Cat Quest,['PS4'],9.99,1.99,-80,FULL_GAME,PQube,2017-11-14,The Gentlebros,"Open World, Action-RPG, Role Playing"
371,Lethal League Blaze,['PS4'],15.99,11.19,-30,FULL_GAME,Team Reptile,2019-07-12,Team Reptile,Fighting
372,Root Film,['PS4'],34.99,17.49,-50,FULL_GAME,PQube,2021-03-19,Kadokawa Games,Visual Novel
373,Asdivine Menace,['PS4'],11.99,5.99,-50,FULL_GAME,KEMCO,2019-08-02,EXE-CREATE,"Role Playing, Turn Based"
374,Bouncy Bullets,['PS4'],3.99,0.79,-80,GAME_BUNDLE,Ratalaika Games,2019-07-09,Petite Games,"First Person Shooter, Platformer"
375,Tooth and Tail,['PS4'],12.99,2.59,-80,FULL_GAME,Pocketwatch Games,2017-09-12,Pocketwatch Games,"Strategy, Real Time"
376,The Wild Eight,['PS4'],15.99,6.39,-60,FULL_GAME,HypeTrain Digital,2020-10-27,"HypeTrain Digital, FNTASTIC",Survival
377,Forestry 2017 - The Simulation,['PS4'],15.99,4.79,-70,FULL_GAME,United Independent Entertainment,2016-10-28,Silent Future,Simulation
378,Angry Birds VR: Isle of Pigs,['PS4'],11.99,8.39,-30,FULL_GAME,Resolution Games,2019-03-26,Resolution Games,Puzzle
379,Summer Sports Games,['PS4'],19.99,13.99,-30,FULL_GAME,Joindots,2019-06-04,Joindots,Sports
380,Azure Reflections,['PS4'],19.99,9.99,-50,FULL_GAME,UNTIES,2018-05-15,souvenir circ.,Shoot 'em up
381,Acalesia,['PS4'],3.99,2.79,-30,FULL_GAME,Victory Road,2021-04-01,BAkau,Platformer
382,Merrily Perrilly,['PS4'],3.99,1.59,-60,FULL_GAME,Top Hat Studios,2021-06-30,Top Hat Studios,Adventure
383,Gunducky Industries++,['PS4'],0.39,0.19,-50,FULL_GAME,The Voices Games,2021-04-28,The Voices Games,On Rails
384,Smoke And Sacrifice,['PS4'],15.99,2.39,-85,FULL_GAME,Curve Games,2019-01-15,Solar Sail Games,"Action-Adventure, Survival"
385,Neptunia x SENRAN KAGURA: Ninja Wars,['PS4'],44.99,22.49,-50,FULL_GAME,Idea Factory,2021-10-26,"Compile Heart, Tamsoft, Idea Factory",Hack & Slash
386,NO THING,['PS4'],1.69,0.16,-90,FULL_GAME,Forever Entertainment,2020-12-11,"Evil Indie Games, Storm Trident",Adventure
387,El Hijo - A Wild West Tale,['PS4'],15.99,12.79,-20,FULL_GAME,HandyGames,2021-03-25,"Honig Studios, Quantumfrog",Stealth
388,Roundguard,['PS4'],13.99,4.89,-65,FULL_GAME,The Quantum Astrophysicists Guild,2020-03-17,Wonderbelly Games,"Roguelite, Puzzle"
389,Premium Pool Arena,['PS4'],7.99,3.99,-50,FULL_GAME,Nacon,2018-02-20,Iceflake Studios,"Sports, Cue Sports"
390,CATTCH,['PS4'],7.99,3.99,-50,FULL_GAME,ChiliDog Interactive,2020-12-18,Infected Pixels Studio,Platformer
391,Twilight Path,['PS4'],11.99,5.99,-50,FULL_GAME,Charm Games,2020-10-27,Charm Games,Adventure
392,Ling: A Road Alone,['PS4'],7.99,3.99,-50,FULL_GAME,Winking Skywalker Entertainment,2019-10-02,Chautauqua Software,Action
393,Sublevel Zero Redux,['PS4'],15.99,3.19,-80,FULL_GAME,Merge Games,2017-03-03,SIGTRAP Games,First Person Shooter
394,Heart&Slash,['PS4'],24.99,6.24,-75,FULL_GAME,BadLand Publishing,2016-06-24,Aheartfulofgames,"Roguelite, Hack & Slash"
396,Chronus Arc,['PS4'],11.99,5.99,-50,FULL_GAME,KEMCO,2018-10-30,Hit-Point,"Role Playing, Turn Based"
397,Revenant Dogma,['PS4'],11.99,5.99,-50,FULL_GAME,KEMCO,2018-09-25,EXE-CREATE,"Role Playing, Turn Based"
399,The Flame in the Flood: Complete Edition,['PS4'],11.99,2.39,-80,FULL_GAME,Curve Games,2017-01-17,The Molasses Flood,Action-Adventure
400,Remnant: From the Ashes,['PS4'],32.99,13.19,-60,FULL_GAME,Perfect World Entertainment,2019-08-20,Gunfire Games,"Action-RPG, Role Playing, Third Person Shooter"
401,Rock 'N Racing Off Road DX,['PS5'],6.49,4.86,-25,FULL_GAME,Unfinished Pixel,2016-11-29,EnjoyUp Games,"Automobile, Arcade Racing"
402,Micetopia,['PS4'],3.99,1.39,-65,FULL_GAME,Ratalaika Games,2020-11-20,Ninja Rabbit Studio,"Metroidvania, Platformer"
403,ScourgeBringer,"['PS4', 'PS5']",13.99,7.69,-45,FULL_GAME,"Dear Villagers, Pix'n Love",2021-04-22,Flying Oak Games,"Roguelite, Platformer"
404,Etherborn,['PS4'],11.49,5.17,-55,FULL_GAME,Altered Matter,2019-07-18,Altered Matter,"Puzzle, Platformer"
405,God Eater 3,['PS4'],49.99,6.99,-86,FULL_GAME,Bandai Namco Entertainment,2019-02-08,First Studio,"Action-RPG, Role Playing"
406,World to the West,['PS4'],15.99,7.99,-50,FULL_GAME,SOEDESCO,2017-05-05,Rain Games,Action-Adventure
407,Aery - Broken Memories,['PS4'],11.99,7.19,-40,FULL_GAME,EpiXR Games,2021-03-26,EpiXR Games,Adventure
408,Ancestors: The Humankind Odyssey,['PS4'],32.99,13.19,-60,FULL_GAME,Private Division,2019-12-06,Panache Digital Games,"Open World, Survival"
409,The Padre,['PS4'],15.99,3.19,-80,FULL_GAME,Feardemic,2019-06-27,Shotgun With Glitters,Survival Horror
410,Manhunt,['PS4'],11.99,7.19,-40,FULL_GAME,Rockstar Games,2016-03-22,Rockstar North,"Action-Adventure, Stealth"
411,Conarium,['PS4'],15.99,3.99,-75,FULL_GAME,Iceberg Interactive,2019-02-12,Zoetrope Interactive,Adventure
412,Horned Knight,['PS4'],4.99,2.49,-50,FULL_GAME,2Awesome Studio,2021-02-23,Josep Monzonis Hernandez,Platformer
413,DEAD OR ALIVE 6,['PS4'],54.99,13.74,-75,FULL_GAME,KOEI TECMO,2019-03-01,Team Ninja,Fighting
415,Aground,['PS4'],9.79,6.36,-35,FULL_GAME,Whitethorn Digital,2021-02-11,Fancy Fish Games,Sandbox
416,Deployment,['PS4'],1.39,0.55,-60,FULL_GAME,Whale Rock Games,2018-09-19,Whale Rock Games,Shoot 'em up
417,World Cruise Story,['PS4'],9.99,4.99,-50,FULL_GAME,Kairosoft,2020-10-30,Kairosoft,Management
418,Sky Force Anniversary,['PS4'],7.99,5.59,-30,FULL_GAME,Infinite Dreams,2016-09-06,Infinite Dreams,Shoot 'em up
419,Cursed Castilla (Maldita Castilla EX),['PS4'],9.49,4.74,-50,FULL_GAME,Abylight Studios,2016-12-16,Locomalito,Platformer
420,Raji: An Ancient Epic,['PS4'],19.99,6.79,-66,FULL_GAME,Super.com,2020-10-15,Nodding Heads Games,"Role Playing, Real Time"
