id,name,platforms,original_price(£),discounted_price(£),discount(%),product_type,publisher,rel_date,developer,genre
65,Stranded Sails: Explorers of the Cursed Islands,['PS5'],19.99,7.99,-60,FULL_GAME,Merge Games,2019-10-17,Lemonbomb Entertainment,"Action-Adventure, Management"
66,Game Dev Story,['PS4'],9.99,4.99,-50,FULL_GAME,Kairosoft,2019-12-05,Kairosoft,Management
67,Gorogoa,['PS4'],11.99,3.59,-70,FULL_GAME,Annapurna Interactive,2018-05-22,Buried Signal,"Puzzle, Adventure"
68,Duck Souls+,['PS4'],3.99,1.39,-65,GAME_BUNDLE,Ratalaika Games,2020-03-24,Green Dinosaur Games,Platformer
69,Hotshot Racing,['PS4'],15.99,3.19,-80,FULL_GAME,"Curve Games, H2 Interactive",2020-09-10,"Lucky Mountain Games, Sumo Digital","Automobile, Arcade Racing"
70,Little Big Workshop,['PS4'],15.99,12.79,-20,FULL_GAME,HandyGames,2020-09-24,Mirage Game Studios,"Simulation, Management"
71,Mutazione,['PS4'],14.99,8.24,-45,FULL_GAME,Akupara Games,2019-09-19,Die Gute Fabrik,Adventure
72,Kona,"['PS4', 'PS5']",11.99,2.39,-80,FULL_GAME,Ravenscourt,2017-03-23,Parabole,"Adventure, Survival"
73,Hob,['PS4'],15.99,7.99,-50,FULL_GAME,Runic Games,2017-09-26,Runic Games,Action-Adventure
74,Borderlands 2 VR,['PS4'],39.99,19.99,-50,FULL_GAME,2K Games,2018-12-14,Gearbox Software,"Open World, First Person Shooter, Role Playing, Dungeon Crawler"
75,Fast & Furious: Spy Racers Rise of SH1FT3R,"['PS4', 'PS5']",34.99,20.99,-40,FULL_GAME,Outright Games,2021-11-05,3DClouds.it,"Automobile, Arcade Racing"
76,Cast of the Seven Godsends - Redux,['PS4'],5.79,1.15,-80,FULL_GAME,Merge Games,2016-07-19,Raven Travel Studios,Platformer
77,Rhythm 'n Bullets,['PS4'],7.99,3.99,-50,FULL_GAME,DB Creations,2021-07-22,DB Creations,Shoot 'em up
78,Swamp Defense 2,['PS4'],3.99,1.59,-60,FULL_GAME,EntwicklerX,2021-09-10,EntwicklerX,Tower Defence
79,SuperEpic: The Entertainment War,['PS4'],12.99,2.59,-80,FULL_GAME,"Numskull Games, PM Studios",2019-12-12,Undercoders,"Metroidvania, Platformer"
80,Ash of Gods: Redemption,['PS4'],15.99,3.19,-80,FULL_GAME,"Deep Silver, Ravenscourt",2020-02-03,AurumDust Studio,"Role Playing, Strategy, Turn Based"
81,Monster Blast,['PS4'],5.79,2.31,-60,FULL_GAME,EntwicklerX,2021-03-18,EntwicklerX,Shoot 'em up
82,Golf With Your Friends,['PS4'],15.99,3.99,-75,FULL_GAME,Team17 Software,2020-05-19,Blacklight Interactive,"Sports, Golf, Party"
83,Crossbow Crusade,['PS4'],3.99,2.19,-45,FULL_GAME,ChiliDog Interactive,2021-05-28,HugePixel,Run & Gun
84,Peaky Blinders: Mastermind,['PS4'],19.99,2.99,-85,FULL_GAME,Curve Games,2020-08-20,Futurlab,"Stealth, Adventure, Strategy"
85,GORSD,['PS4'],13.99,6.99,-50,FULL_GAME,Springloaded,2020-09-18,Springloaded,Action
86,Tumblestone,['PS4'],24.99,3.74,-85,FULL_GAME,The Quantum Astrophysicists Guild,2016-07-26,The Quantum Astrophysicists Guild,Puzzle
87,My Memory of Us,['PS4'],15.99,3.99,-75,FULL_GAME,IMGN.Pro,2018-10-09,Juggler Games,Adventure
88,XPOSED,['PS4'],7.99,1.99,-75,FULL_GAME,Somequest,2016-12-14,Somequest,Action
89,Drive on Moscow,['PS4'],7.99,3.91,-51,FULL_GAME,Slitherine Software,2018-04-20,Shenandoah Studio,Strategy
90,Atelier Sophie: The Alchemist of the Mysterious Book DX,['PS4'],32.99,23.09,-30,FULL_GAME,KOEI TECMO,2021-04-22,Gust,"Role Playing, Turn Based"
91,Murder Mystery Machine,['PS4'],15.99,9.59,-40,FULL_GAME,Microids,2021-08-25,Blazing Griffin,Adventure
92,THE KING OF FIGHTERS 2002 UNLIMITED MATCH,['PS4'],12.99,5.19,-60,FULL_GAME,"SNK, Pix'n Love",2021-02-08,SNK,Fighting
93,Snooker Nation Championship,['PS5'],9.79,3.91,-60,FULL_GAME,Cherry Pop Games,2019-04-16,Cherry Pop Games,"Sports, Cue Sports"
94,Catlateral Damage,['PS4'],9.49,4.74,-50,FULL_GAME,Fire Hose Games,2016-03-22,Manekoware,Action
95,Order of Battle: World War II,['PS4'],15.99,11.83,-26,FULL_GAME,Slitherine Software,2021-08-19,The Artistocrats,"Strategy, Turn Based"
96,Tandem: A Tale of Shadows,['PS4'],24.99,12.49,-50,FULL_GAME,"Hatinh Interactive, Beep Japan",2021-10-21,Monochrome Paris,"Puzzle, Platformer"
97,ONE PIECE: PIRATE WARRIORS 4,['PS4'],49.99,9.99,-80,FULL_GAME,Bandai Namco Entertainment,2020-03-27,KOEI TECMO,Hack & Slash
98,Grand Prix Story,['PS4'],9.99,4.99,-50,FULL_GAME,Kairosoft,2020-10-15,Kairosoft,"Automobile, Arcade Racing"
99,Sword Art Online: Lost Song,['PS4'],44.99,8.99,-80,FULL_GAME,Bandai Namco Entertainment,2015-11-17,ArtDink,"Action-RPG, Role Playing"
100,Open Country,['PS4'],12.99,6.49,-50,FULL_GAME,505 Games,2021-06-10,Fun Labs,"Open World, Third Person Shooter"
101,Goat Simulator,['PS4'],7.99,1.99,-75,FULL_GAME,Double Eleven,2015-08-12,Coffee Stain Studios,Open World
102,Phoenix Wright: Ace Attorney Trilogy,['PS4'],26.99,13.49,-50,FULL_GAME,Capcom Entertainment,2019-04-09,Capcom Entertainment,"Collection, Visual Novel"
103,Desert Child,['PS4'],8.99,3.14,-65,FULL_GAME,Akupara Games,2018-12-11,Oscar Brittain,Action
104,Eternity: The Last Unicorn,['PS4'],15.99,3.99,-75,FULL_GAME,1C Entertainment,2019-03-05,Void Studios,"Action-RPG, Role Playing"
105,Kholat,['PS4'],15.99,3.99,-75,FULL_GAME,IMAGINATION,2016-03-08,IMGN.Pro,Survival Horror
106,Demon Gaze II,['PS4'],44.99,8.99,-80,FULL_GAME,NIS America,2017-11-14,Experience,"Role Playing, Turn Based, Dungeon Crawler"
107,Lethal VR,['PS4'],11.99,2.39,-80,FULL_GAME,Team17 Software,2017-01-24,Three Fields Entertainment,"First Person Shooter, On Rails"
108,Atelier Firis: The Alchemist and the Mysterious Journey DX,['PS4'],32.99,23.09,-30,FULL_GAME,KOEI TECMO,2021-04-22,Gust,"Role Playing, Turn Based"
109,Root Letter,['PS4'],15.99,4.79,-70,FULL_GAME,PQube,2016-11-08,Kadokawa Games,Visual Novel
110,KUUKIYOMI 2: Consider It More! - New Era,['PS4'],3.69,1.84,-50,FULL_GAME,G-MODE,2020-12-08,G-MODE,Simulation
452,Super Dodgeball Beats,['PS4'],11.99,2.99,-75,FULL_GAME,PlayStack,2019-09-12,Finalboss Games,Music
111,The Escapists: The Walking Dead,['PS4'],14.99,3.74,-75,FULL_GAME,Team17 Software,2016-02-16,Team17 Software,"Simulation, Strategy"
112,Rise Eterna,['PS4'],15.99,1.59,-90,FULL_GAME,Forever Entertainment,2021-08-06,Makee,"Role Playing, Strategy, Turn Based"
113,Romancing SaGa 2,['PS4'],19.99,5.99,-70,FULL_GAME,Square Enix,2017-12-15,ArtePiazza,"Role Playing, Turn Based"
114,Psychonauts 2,['PS4'],49.99,24.99,-50,FULL_GAME,Xbox Game Studios,2021-08-24,Double Fine,Action-Adventure
115,Curse of the Dead Gods,['PS4'],15.99,6.39,-60,FULL_GAME,Focus Entertainment,2021-02-23,Passtech Games,"Roguelite, Dungeon Crawler"
116,Little Misfortune,['PS4'],15.99,5.59,-65,FULL_GAME,Killmonday Games,2020-05-29,Killmonday Games,"Adventure, Point & Click"
117,Treasure Rangers,['PS4'],15.99,3.19,-80,FULL_GAME,Relevo Videogames,2019-12-16,Relevo Videogames,Action-Adventure
